campaign_date,control_group_avg_tran,test_group_avg_tran
2023-09-10,251.02,401.78
2023-09-11,250.77,326.16
2023-09-12,248.81,303.92
2023-09-13,255.9,363.29
2023-09-14,255.86,317.06
2023-09-15,227.32,371.0
2023-09-16,259.09,298.51
2023-09-17,245.36,409.42
2023-09-18,240.66,427.82
2023-09-19,248.23,327.7
2023-09-20,249.26,434.15
2023-09-21,251.32,443.19
2023-09-22,252.98,307.34
2023-09-23,259.01,342.85
2023-09-24,238.09,449.67
2023-09-25,247.15,357.04
2023-09-26,235.81,363.37
2023-09-27,254.13,537.39
2023-09-28,256.46,381.82
2023-09-29,244.11,467.9
2023-09-30,254.58,411.74
2023-10-01,264.68,373.98
2023-10-02,248.24,394.47
2023-10-03,245.6,424.27
2023-10-04,248.04,426.02
2023-10-05,263.1,497.47
2023-10-06,252.3,396.21
2023-10-07,239.49,309.04
2023-10-08,244.09,379.94
2023-10-09,250.63,255.02
2023-10-10,257.61,354.7
2023-10-11,249.77,341.1
2023-10-12,254.12,407.13
2023-10-13,253.41,352.4
2023-10-14,230.62,317.93
2023-10-15,236.59,340.84
2023-10-16,243.6,473.56
2023-10-17,242.1,469.76
2023-10-18,250.94,235.48
2023-10-19,239.01,314.15
2023-10-20,250.86,377.07
2023-10-21,242.8,394.31
2023-10-22,253.45,387.83
2023-10-23,235.3,334.65
2023-10-24,275.28,370.32
2023-10-25,243.03,482.69
2023-10-26,241.94,385.85
2023-10-27,252.28,392.36
2023-10-28,256.9,304.06
2023-10-29,254.27,364.89
2023-10-30,252.93,307.28
2023-10-31,243.89,361.09
2023-11-01,258.62,328.37
2023-11-02,252.0,340.11
2023-11-03,248.39,285.51
2023-11-04,252.55,214.06
2023-11-05,243.16,428.83
2023-11-06,245.42,395.99
2023-11-07,246.32,432.28
2023-11-08,223.1,351.79
2023-11-09,253.67,325.0
2023-11-10,268.34,302.33
